,adjective,type,count,source,Lead_Bi,Lead_Tri,COCA_Bigram,COCA_Trigram,Cos_AvgDist_TOT,prop2,penalr2,tfidf,tfidf_z,Lead_gram_meanz2,COCA_gram_meanz2,Cos_AvgDist_TOT_z2,Cos_Rank4,COCA_Rank4,Lead_Rank4,tfidf_Rank4,Avg_Rank_OptC2
2590,new,lemma,1173,6,236,1,2641,2,0.246060316,4.160814328,0.619178336,726.2961885,4.709179919,5.958197352,9.341874703,1.72329596,2583,2610,2611,2590,2598.5
2582,social,lemma,947,8,101,1,2138,0,0.247005334,5.100389337,0.707603329,670.1003526,4.314569942,2.948720551,5.183542307,1.73765689,2588,2603,2596,2582,2592.25
2542,national,lemma,897,4,47,2,1637,2,0.255992766,2.829121613,0.451651616,405.1314999,2.453945376,2.596803419,6.810921836,1.874234086,2602,2607,2590,2542,2585.25
2592,current,lemma,1051,6,75,1,656,0,0.254276131,4.966119097,0.696017131,731.5140042,4.745819682,2.369117612,1.447613872,1.848147296,2600,2543,2584,2592,2579.75
2546,general,lemma,664,7,88,2,1653,10,0.237507752,4.237835288,0.627144073,416.4236644,2.533239521,3.51079267,18.41259612,1.59332722,2555,2614,2598,2546,2578.25
2599,full,lemma,796,4,82,5,365,0,0.246560658,10.58860179,1.024838616,815.7715383,5.337480311,5.932658909,0.71404088,1.730899386,2586,2492,2610,2599,2571.75
2539,active,lemma,389,3,64,0,1142,0,0.256223041,10.03313477,1.001436646,389.5588553,2.344593485,1.272027396,2.672756395,1.877733447,2603,2583,2548.5,2539,2568.375
2565,financial,lemma,571,7,57,0,741,0,0.257265304,7.614248234,0.881627031,503.4090348,3.144055153,1.115980451,1.66188777,1.893572163,2605,2555,2539,2565,2566
2470,global,lemma,236,4,31,2,495,1,0.253334454,11.40043512,1.056921428,249.4334569,1.360625912,2.240124687,2.486921447,1.833837148,2597,2579,2578.5,2470,2556.125
2587,specific,lemma,796,6,165,2,566,0,0.224663996,7.507581486,0.875500055,696.8980435,4.502744671,5.227309067,1.220735627,1.398147522,2502,2523,2609,2587,2555.25
2611,administrative,lemma,736,8,98,2,185,0,0.248409685,34.51838975,1.538050528,1132.005189,7.558088857,3.733716877,0.26028439,1.758998058,2589,2415.5,2602,2611,2554.375
2554,local,lemma,734,5,38,0,817,1,0.239501892,3.979978058,0.599880678,440.3124175,2.700987543,0.692424456,3.29864139,1.623631094,2561,2591,2494,2554,2550
2576,executive,lemma,311,4,60,0,6591,1,0.217984089,86.02051984,1.934602063,601.6612415,3.833987073,1.182857713,17.85414124,1.296636557,2459,2613,2544,2576,2548
2573,medical,lemma,651,7,98,0,496,0,0.230786011,7.587298395,0.880087164,572.9367441,3.632282212,2.029969701,1.04427477,1.491180509,2531,2513,2574,2573,2547.75
2447,different,lemma,572,4,82,1,1136,0,0.242905977,2.41034192,0.382078654,218.54899,1.143753638,2.525164557,2.657631179,1.675361155,2573,2581,2588,2447,2547.25
2502,common,lemma,256,5,125,1,649,0,0.234607981,14.61706744,1.164860251,298.2042242,1.703096685,3.483738649,1.429967786,1.549260949,2548,2541,2597,2502,2547
2528,military,lemma,414,5,112,0,734,0,0.228604989,7.468347916,0.873224542,361.5149602,2.147667847,2.342063592,1.644241684,1.458036692,2521,2554,2582.5,2528,2546.375
2465,assistant,lemma,187,3,72,0,395,3,0.236595883,19.45374858,1.289003299,241.0436169,1.301712035,1.450366762,5.125169601,1.579470038,2551,2602,2559.5,2465,2544.375
2416,international,lemma,251,4,129,0,951,0,0.243287052,5.401065079,0.73247941,183.852332,0.900111966,2.721034744,2.191270342,1.681152146,2574,2573.5,2592.5,2416,2539
2545,individual,lemma,470,7,102,0,323,0,0.233662414,7.5830285,0.879842688,413.5260635,2.512892422,2.119139384,0.608164365,1.534891666,2546,2479,2577,2545,2536.75
2458,cultural,lemma,215,6,53,0,1176,0,0.241906731,11.5966681,1.064333228,228.831644,1.215958949,1.026810768,2.758465954,1.66017615,2570,2585,2532,2458,2536.25
2602,high,lemma,1356,6,149,1,193,0,0.225378922,4.33240448,0.636728996,863.4045189,5.671961488,4.018756747,0.280451345,1.40901188,2505,2425,2604,2602,2534
2499,major,lemma,528,4,78,0,697,0,0.227759666,3.589644543,0.555051446,293.0671633,1.667023986,1.584121286,1.550969517,1.445190773,2518,2551,2563,2499,2532.75
2530,primary,lemma,356,4,99,0,868,0,0.217838316,10.81110665,1.033870152,368.057774,2.193611814,2.052262122,1.982038183,1.294421316,2456,2567,2576,2530,2532.25
2491,important,lemma,664,3,24,1,524,0,0.242252535,2.693437848,0.430306959,285.7238204,1.615458665,1.232204154,1.114859113,1.665431142,2571,2517,2546,2491,2531.25
2464,good,lemma,677,5,53,3,5251,1,0.215206339,2.26890726,0.355816745,240.8879362,1.300618838,3.582431532,14.47617626,1.254424566,2436,2612,2599,2464,2527.75
2580,effective,lemma,676,4,61,4,196,0,0.223574273,8.448340723,0.926771421,626.4974804,4.008388388,4.612644486,0.288013953,1.381587583,2494,2429,2607,2580,2527.5
2568,educational,lemma,424,7,40,0,387,0,0.229213881,16.27495471,1.211519789,513.6843904,3.216209214,0.737009298,0.769500006,1.467289702,2523,2497.5,2501,2568,2522.375
2595,basic,lemma,843,7,24,0,594,0,0.222722543,7.873904333,0.896190134,755.4882828,4.914168269,0.380330566,1.29131997,1.368644297,2489,2532,2471.5,2595,2521.875
2575,significant,lemma,738,3,17,0,394,0,0.233596565,6.440745672,0.80893615,596.994879,3.801219642,0.224283621,0.787146092,1.533891004,2544,2502,2449,2575,2517.5
2537,senior,lemma,439,4,122,2,313,1,0.206403283,7.492671883,0.874636715,383.9655177,2.305316787,4.268734975,2.028123218,1.12064923,2357,2569,2606,2537,2517.25
2526,foreign,lemma,402,5,173,0,703,0,0.209356228,7.826536116,0.893569594,359.2149766,2.131517247,3.701901257,1.566094733,1.165523561,2386,2552,2601,2526,2516.25
2598,appropriate,lemma,763,6,15,0,178,0,0.26862877,10.44245779,1.018802729,777.3464819,5.067657638,0.179698779,0.242638304,2.066256686,2613,2412.5,2437.5,2598,2515.25
2376,corporate,lemma,138,5,46,1,762,0,0.238697572,14.178354,1.151625816,158.9243625,0.725066515,1.72263741,1.714826027,1.61140827,2558,2557,2568,2376,2514.75
